CMDLINE F:\github.com_extension\indexation_document\indexation_venv\Scripts\python.exe .\similarite_entre_2_images.py
MEM 7.203125 1719205179.0692
MEM 7.203125 1719205179.1702
MEM 7.203125 1719205179.2712
MEM 7.203125 1719205179.3722
MEM 7.203125 1719205179.4732
MEM 7.203125 1719205179.5742
MEM 7.203125 1719205179.6752
MEM 7.203125 1719205179.7762
MEM 7.203125 1719205179.8772
MEM 7.203125 1719205179.9782
MEM 7.203125 1719205180.0792
MEM 7.203125 1719205180.1802
MEM 7.203125 1719205180.2812
MEM 7.203125 1719205180.3822
MEM 7.203125 1719205180.4832
MEM 7.203125 1719205180.5837
MEM 7.203125 1719205180.6847
MEM 7.203125 1719205180.7857
MEM 7.203125 1719205180.8867
MEM 7.203125 1719205180.9877
MEM 7.203125 1719205181.0896
MEM 7.203125 1719205181.1907
MEM 7.203125 1719205181.2912
MEM 7.203125 1719205181.3922
MEM 7.203125 1719205181.4932
MEM 7.203125 1719205181.5943
MEM 7.203125 1719205181.6953
MEM 7.203125 1719205181.7963
MEM 7.203125 1719205181.8968
MEM 7.203125 1719205181.9978
MEM 7.203125 1719205182.0987
MEM 7.203125 1719205182.1997
MEM 7.203125 1719205182.3007
MEM 7.203125 1719205182.4018
MEM 7.203125 1719205182.5027
MEM 7.203125 1719205182.6037
MEM 7.203125 1719205182.7047
MEM 7.203125 1719205182.8057
MEM 7.203125 1719205182.9067
MEM 7.203125 1719205183.0077
MEM 7.203125 1719205183.1087
MEM 7.203125 1719205183.2097
MEM 7.203125 1719205183.3107
MEM 7.203125 1719205183.4117
MEM 7.203125 1719205183.5127
MEM 7.203125 1719205183.6137
MEM 7.203125 1719205183.7147
MEM 7.203125 1719205183.8157
MEM 7.203125 1719205183.9167
MEM 7.203125 1719205184.0171
MEM 7.203125 1719205184.1181
MEM 7.203125 1719205184.2192
MEM 7.203125 1719205184.3201
MEM 7.203125 1719205184.4212
MEM 7.203125 1719205184.5221
MEM 7.203125 1719205184.6231
MEM 7.203125 1719205184.7241
MEM 7.203125 1719205184.8252
MEM 7.203125 1719205184.9261
MEM 7.203125 1719205185.0272
MEM 7.203125 1719205185.1282
MEM 7.203125 1719205185.2291
MEM 7.203125 1719205185.3301
MEM 7.203125 1719205185.4311
MEM 7.203125 1719205185.5322
MEM 7.203125 1719205185.6332
MEM 7.203125 1719205185.7342
MEM 7.203125 1719205185.8352
MEM 7.203125 1719205185.9362
MEM 7.203125 1719205186.0364
MEM 7.203125 1719205186.1374
MEM 7.203125 1719205186.2384
MEM 7.203125 1719205186.3394
MEM 7.203125 1719205186.4404
MEM 7.203125 1719205186.5414
MEM 7.203125 1719205186.6424
MEM 7.203125 1719205186.7434
MEM 7.203125 1719205186.8444
MEM 7.203125 1719205186.9454
MEM 7.203125 1719205187.0464
MEM 7.203125 1719205187.1474
MEM 7.203125 1719205187.2484
MEM 7.203125 1719205187.3494
MEM 7.203125 1719205187.4504
MEM 7.203125 1719205187.5544
MEM 7.203125 1719205187.6554
MEM 7.203125 1719205187.7574
MEM 7.203125 1719205187.8594
MEM 7.203125 1719205187.9644
MEM 7.203125 1719205188.0964
MEM 7.203125 1719205188.1984
MEM 7.203125 1719205188.3134
MEM 7.203125 1719205188.4164
MEM 7.203125 1719205188.5174
MEM 7.203125 1719205188.6184
MEM 7.203125 1719205188.7194
MEM 7.203125 1719205188.8204
MEM 7.203125 1719205188.9214
MEM 7.203125 1719205189.0224
MEM 7.203125 1719205189.1234
MEM 7.203125 1719205189.2284
MEM 7.203125 1719205189.3294
MEM 7.203125 1719205189.4344
MEM 7.187500 1719205189.5364
MEM 7.187500 1719205189.6374
MEM 7.187500 1719205189.7464
MEM 7.187500 1719205189.9574
MEM 7.187500 1719205190.0694
MEM 7.187500 1719205190.1714
MEM 7.187500 1719205190.2724
MEM 7.187500 1719205190.3734
MEM 7.187500 1719205190.4744
MEM 7.187500 1719205190.5754
MEM 7.187500 1719205190.6764
MEM 7.187500 1719205190.7774
MEM 7.187500 1719205190.8954
MEM 7.187500 1719205191.0354
MEM 7.187500 1719205191.1414
MEM 7.187500 1719205191.2534
MEM 7.187500 1719205191.3544
MEM 7.187500 1719205191.4554
MEM 7.187500 1719205191.5764
MEM 7.187500 1719205191.7224
MEM 7.187500 1719205191.8234
MEM 7.187500 1719205191.9244
MEM 7.187500 1719205192.0254
MEM 7.187500 1719205192.1294
MEM 7.187500 1719205192.2314
MEM 7.187500 1719205192.3324
MEM 7.187500 1719205192.4334
MEM 7.187500 1719205192.5344
MEM 7.187500 1719205192.6354
MEM 7.187500 1719205192.7364
MEM 7.187500 1719205192.8374
MEM 7.187500 1719205192.9384
MEM 7.187500 1719205193.0394
MEM 7.187500 1719205193.1404
MEM 7.187500 1719205193.2414
MEM 7.187500 1719205193.3424
MEM 7.187500 1719205193.4434
MEM 7.187500 1719205193.5444
MEM 7.187500 1719205193.6454
MEM 7.187500 1719205193.7464
MEM 7.187500 1719205193.8474
MEM 7.187500 1719205193.9484
MEM 7.187500 1719205194.0494
MEM 7.187500 1719205194.1504
MEM 7.187500 1719205194.2514
MEM 7.187500 1719205194.3524
MEM 7.187500 1719205194.4534
MEM 7.187500 1719205194.5544
MEM 7.187500 1719205194.6554
MEM 7.187500 1719205194.7564
MEM 7.187500 1719205194.8574
MEM 7.187500 1719205194.9584
MEM 7.187500 1719205195.0594
MEM 7.187500 1719205195.1604
MEM 7.187500 1719205195.2614
MEM 7.187500 1719205195.3624
MEM 7.187500 1719205195.4634
MEM 7.187500 1719205195.5644
MEM 7.187500 1719205195.6654
MEM 7.187500 1719205195.7664
MEM 7.187500 1719205195.8674
MEM 7.187500 1719205195.9684
MEM 7.187500 1719205196.0694
MEM 7.187500 1719205196.1704
MEM 7.187500 1719205196.2714
MEM 7.187500 1719205196.3724
MEM 7.187500 1719205196.4734
MEM 7.187500 1719205196.5744
MEM 7.187500 1719205196.6754
MEM 7.187500 1719205196.7764
MEM 7.187500 1719205196.8774
MEM 7.187500 1719205196.9784
MEM 7.187500 1719205197.0794
MEM 7.187500 1719205197.1804
MEM 7.187500 1719205197.2814
MEM 7.187500 1719205197.3824
MEM 7.187500 1719205197.4834
MEM 7.187500 1719205197.5844
MEM 7.187500 1719205197.6853
MEM 7.187500 1719205197.7864
MEM 7.187500 1719205197.8874
MEM 7.187500 1719205197.9884
MEM 7.187500 1719205198.0894
MEM 7.187500 1719205198.1904
MEM 7.187500 1719205198.2905
MEM 7.187500 1719205198.3915
MEM 7.187500 1719205198.4926
MEM 7.187500 1719205198.5936
MEM 7.187500 1719205198.6946
MEM 7.187500 1719205198.7955
MEM 7.187500 1719205198.8966
MEM 7.187500 1719205198.9976
MEM 7.187500 1719205199.0985
MEM 7.187500 1719205199.1995
MEM 7.187500 1719205199.3036
MEM 7.187500 1719205199.4066
MEM 7.187500 1719205199.5085
MEM 7.187500 1719205199.6095
MEM 7.187500 1719205199.7105
MEM 7.187500 1719205199.8116
MEM 7.187500 1719205199.9126
MEM 7.187500 1719205200.0135
MEM 7.187500 1719205200.1145
MEM 7.187500 1719205200.2155
MEM 7.187500 1719205200.3159
